,mos,dist_name,deep_sim
0,5.51429,I01_01_1.bmp,0.035670071840286255
1,5.56757,i01_01_2.bmp,0.050017111003398895
2,4.94444,i01_01_3.bmp,0.08973293006420135
3,4.37838,i01_01_4.bmp,0.12552715837955475
4,3.8648599999999997,i01_01_5.bmp,0.21758104860782623
5,6.028569999999999,i01_02_1.bmp,0.018643837422132492
6,6.10811,i01_02_2.bmp,0.02467276155948639
7,5.38889,i01_02_3.bmp,0.03831964358687401
8,4.71429,i01_02_4.bmp,0.05491269752383232
9,4.36111,i01_02_5.bmp,0.08918187767267227
10,4.7714300000000005,i01_03_1.bmp,0.10089126229286194
11,4.27027,i01_03_2.bmp,0.14774306118488312
12,3.7027,i01_03_3.bmp,0.20416870713233948
13,3.19444,i01_03_4.bmp,0.32825106382369995
14,2.71429,i01_03_5.bmp,0.48346346616744995
15,5.971430000000001,i01_04_1.bmp,0.021337009966373444
16,5.75676,i01_04_2.bmp,0.03967173397541046
17,5.27027,i01_04_3.bmp,0.07594751566648483
18,5.24324,i01_04_4.bmp,0.1385999619960785
19,4.71429,i01_04_5.bmp,0.2715679705142975
20,5.91892,i01_05_1.bmp,0.02296711876988411
21,5.7027,i01_05_2.bmp,0.03633291646838188
22,5.08333,i01_05_3.bmp,0.08995603024959564
23,4.13889,i01_05_4.bmp,0.25290048122406006
24,3.13889,i01_05_5.bmp,0.7503712773323059
25,4.0,i01_06_1.bmp,0.06284303218126297
26,3.89189,i01_06_2.bmp,0.09308573603630066
27,3.7297300000000004,i01_06_3.bmp,0.1555376648902893
28,3.4857099999999996,i01_06_4.bmp,0.2381536215543747
29,2.94444,i01_06_5.bmp,0.457340806722641
30,5.08333,i01_07_1.bmp,0.12328990548849106
31,4.75,i01_07_2.bmp,0.2782510817050934
32,4.0,i01_07_3.bmp,0.3336503803730011
33,3.22222,i01_07_4.bmp,0.5592274069786072
34,2.19444,i01_07_5.bmp,1.1001970767974854
35,5.18919,i01_08_1.bmp,0.12852558493614197
36,4.47222,i01_08_2.bmp,0.20916272699832916
37,3.4864900000000003,i01_08_3.bmp,0.3212088644504547
38,3.0,i01_08_4.bmp,0.4585185647010803
39,2.11111,i01_08_5.bmp,0.6394814848899841
40,6.08333,i01_09_1.bmp,0.0523468442261219
41,5.16667,i01_09_2.bmp,0.0983208641409874
42,4.42857,i01_09_3.bmp,0.18113526701927185
43,2.81081,i01_09_4.bmp,0.3504973351955414
44,1.54054,i01_09_5.bmp,0.8689926862716675
45,5.97297,i01_10_1.bmp,0.02647094428539276
46,5.94595,i01_10_2.bmp,0.050497882068157196
